Place,Latitude,Longitude,Weight,Team,Content,Comments,Related,Type,Negative,Postive,Neutral,Topographical features,Topographical features (general)
Nebo,31.766667,35.725000,1,Negative,"""Next Chemos, the obscene dread of Moab’s sons,
From Aroar to Nebo, and the wild
Of Southmost Abarim; in Hesebon
And Horonaim, Seon’s realm, beyond
The flowery dale of Sibma clad with vines,
And Eleale to the Asphaltic pool.
Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe.
Yet thence his lustful orgies he enlarged
Even to that hill of scandal, by the grove
Of Moloch homicide, lust hard by hate;
Till good Josiah drove them thence to Hell."" (1.406-418) [negative]","Associated with idol worship, as of Chemos.",eleven,,1,0,0,mountain,mountain
Hesebon,31.818611,35.798889,1,Negative,"""Next Chemos, the obscene dread of Moab’s sons,
From Aroar to Nebo, and the wild
Of Southmost Abarim; in Hesebon
And Horonaim, Seon’s realm, beyond
The flowery dale of Sibma clad with vines,
And Eleale to the Asphaltic pool.
Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe.
Yet thence his lustful orgies he enlarged
Even to that hill of scandal, by the grove
Of Moloch homicide, lust hard by hate;
Till good Josiah drove them thence to Hell."" (1.406-418) [negative]","Associated with idol worship, as of Chemos.",eleven,,1,0,0,region,region
Abarim,31.753900,35.715200,1,Negative,"""Next Chemos, the obscene dread of Moab’s sons,
From Aroar to Nebo, and the wild
Of Southmost Abarim; in Hesebon
And Horonaim, Seon’s realm, beyond
The flowery dale of Sibma clad with vines,
And Eleale to the Asphaltic pool.
Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe.
Yet thence his lustful orgies he enlarged
Even to that hill of scandal, by the grove
Of Moloch homicide, lust hard by hate;
Till good Josiah drove them thence to Hell."" (1.406-418) [negative]","Associated with idol worship, as of Chemos.",eleven,,1,0,0,mountain,mountain
Asphaltic Pool,31.500000,35.500000,1,Negative,"""Next Chemos, the obscene dread of Moab’s sons,
From Aroar to Nebo, and the wild
Of Southmost Abarim; in Hesebon
And Horonaim, Seon’s realm, beyond
The flowery dale of Sibma clad with vines,
And Eleale to the Asphaltic pool.
Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe.
Yet thence his lustful orgies he enlarged
Even to that hill of scandal, by the grove
Of Moloch homicide, lust hard by hate;
Till good Josiah drove them thence to Hell."" (1.406-418) [negative]","Associated with idol worship, as of Chemos.",eleven,,1,0,0,sea,water
Euphrates,31.005000,47.441944,2,Negative,"""With these came they, who from the bordering flood
Of old Euphrates to the brook that parts
Egypt from Syrian ground, had general names
Of Baalim and Ashtaroth, those male,
These feminine."" (1.419-423) [negative]/ ""Witness the irreverent son
Of him who built the ark; who, for the shame
Done to his father, heard this heavy curse,
Servant of servants, on his vicious race.
Thus will this latter, as the former world,
Still tend from bad to worse; till God at last,
Wearied with their iniquities, withdraw
His presence from among them, and avert
His holy eyes; resolving from thenceforth
To leave them to their own polluted ways;
And one peculiar nation to select
From all the rest, of whom to be invoked,
A nation from one faithful man to spring:
Him on this side Euphrates yet residing,
Bred up in idol-worship: Oh, that men
(Canst thou believe?) should be so stupid grown,
While yet the patriarch lived, who 'scaped the flood,
As to forsake the living God, and fall
To worship their own work in wood and stone
For Gods!"" (12.101-120) [negative]","Associated with pagan cults, as of Baal and Ashtaroth.",eleven,,2,0,0,river,water
Syria,33.500000,36.300000,2,Negative,"""With these came they, who from the bordering flood
Of old Euphrates to the brook that parts
Egypt from Syrian ground, had general names
Of Baalim and Ashtaroth, those male,
These feminine."" (1.419-423) [negative]; ""Thammuz came next behind,
Whose annual wound in Lebanon allured
The Syrian damsels to lament his fate
In amorous ditties all a summer’s day,
While smooth Adonis from his native rock
Ran purple to the sea, supposed with blood
Of Thammuz yearly wounded: the love-tale
Infected Sion’s daughters with like heat,
Whose wanton passions in the sacred porch
Ezekiel saw, when by the vision led
His eye surveyed the dark idolatries
Of alienated Judah."" (1.446-457) [negative];","Assosiated with pagan cults, including wordship of Thammuz, the Phoenician original of Adonis, whose death signified the change of season and for whom is named a river (in modern Lebanon) that turns red after the summer solace (supposedly with the blood of Adonis's wound).",thirteen,,2,0,0,regio,region
Israel,31.000000,35.000000,4,Negative,"""Next Chemos, the obscene dread of Moab’s sons,
From Aroar to Nebo, and the wild
Of Southmost Abarim; in Hesebon
And Horonaim, Seon’s realm, beyond
The flowery dale of Sibma clad with vines,
And Eleale to the Asphaltic pool.
Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe.
Yet thence his lustful orgies he enlarged
Even to that hill of scandal, by the grove
Of Moloch homicide, lust hard by hate;
Till good Josiah drove them thence to Hell."" (1.406-418) [negative] / ""For those the race of Israel oft forsook 
Their living strength, and unfrequented left 
His righteous altar, bowing lowly down 
To bestial gods; for which their heads as low 
Bowed down in battle, sunk before the spear 
Of despicable foes."" (1.432-437) [negative] / ""Nor did Israel escape
The infection [of idol worship] when their borrowed gold composed
The calf in Oreb: and the rebel king
Doubled that sin in Bethel and in Dan,
Likening his Maker to the grazed ox,
Jehovah, who in one night when he passed
From Egypt marching, equaled with one stroke
Both her first born and all her bleating gods."" (1.482-489) [negative] / ""The rest 
Were long to tell; how many battles fought 
How many kings destroyed; and kingdoms won; 
Or how the sun shall in mid Heaven stand still 
A day entire, and night's due course adjourn, 
Man's voice commanding, 'Sun, in Gibeon stand, 
'And thou moon in the vale of Aialon, 
'Till Israel overcome, so call the third 
From Abraham, son of Isaac; and from him 
His whole descent, who thus shall Canaan win."" (12.260-269) [neutral]","Associated with pagan cults, as of Baal and Ashtaroth. / Chosen nation derived from Abraham; vanquisher of rival nations.",eleven /phthree,B,4,0,0,region,region
Azotus,31.800000,34.650000,1,Negative,"""Next came one
Who mourned in earnest, when the captive Ark
Maimed his brute image, head and hands lopped off
In his own temple, on the grunsel edge,
Where he fell flat, and shamed his worshipers:
Dagon his name, sea monster, upward man
And downward fish: yet had his temple high
Reared in Azotus, dreaded through the coast
Of Palestine, in Gath and Ascalon
And Accaron and Gaza's frontier bounds."" (1.457-466) [negative]","Site of temple of the  Dagon, pagan god worshipped by the Philistines.",fourteen,,1,0,0,region,region
Damascus,33.500000,36.300000,1,Negative,"""Him followed Rimmon, whose delightful seat
Was fair Damascus, on the fertile banks
Of Abbana and Pharphar, lucid streams.
He also against the house of God was bold:
A leper once he lost and gained a king,
Ahaz his sottish conqueror, whom he drew
Gods altar to disparage and displace
For one of Syrian mode, whereon to burn
His odious offerings, and adore the gods
Whom he had vanquished."" (1.467-476) [negative]","Damascus, located between the rivers Abbana and Pharphar, the seat of the pagan cult of Rimmon.",fifteen,,1,0,0,region,region
Bethel,31.942000,35.222000,1,Negative,"""Nor did Israel escape
The infection [of idol worship] when their borrowed gold composed
The calf in Oreb: and the rebel king
Doubled that sin in Bethel and in Dan,
Likening his Maker to the grazed ox,
Jehovah, who in one night when he passed
From Egypt marching, equaled with one stroke
Both her first born and all her bleating gods."" (1.482-489) [negative]","Associated with idol worship, as of the Hebrews' worship of the golden calf.",eleven,,1,0,0,region,region
Dan,33.249000,35.652000,1,Negative,"""Nor did Israel escape
The infection [of idol worship] when their borrowed gold composed
The calf in Oreb: and the rebel king
Doubled that sin in Bethel and in Dan,
Likening his Maker to the grazed ox,
Jehovah, who in one night when he passed
From Egypt marching, equaled with one stroke
Both her first born and all her bleating gods."" (1.482-489) [negative]","Associated with idol worship, as of the Hebrews' worship of the golden calf.",eleven,,1,0,0,region,region
Abbana,33.513542,36.305000,1,Negative,"""Him followed Rimmon, whose delightful seat
Was fair Damascus, on the fertile banks
Of Abbana and Pharphar, lucid streams.
He also against the house of God was bold:
A leper once he lost and gained a king,
Ahaz his sottish conqueror, whom he drew
Gods altar to disparage and displace
For one of Syrian mode, whereon to burn
His odious offerings, and adore the gods
Whom he had vanquished."" (1.467-476) [negative]","Damascus, located between the rivers Abbana and Pharphar, the seat of the pagan cult of Rimmon.",fifteen,,1,0,0,river,water
Pharphar,33.416667,36.133333,1,Negative,"""Him followed Rimmon, whose delightful seat
Was fair Damascus, on the fertile banks
Of Abbana and Pharphar, lucid streams.
He also against the house of God was bold:
A leper once he lost and gained a king,
Ahaz his sottish conqueror, whom he drew
Gods altar to disparage and displace
For one of Syrian mode, whereon to burn
His odious offerings, and adore the gods
Whom he had vanquished."" (1.467-476) [negative]","Damascus, located between the rivers Abbana and Pharphar, the seat of the pagan cult of Rimmon.",fifteen,,1,0,0,river,water
Gibeah,31.823372,35.231150,1,Negative,"""Belial came last, then whom a spirit more lewd
Fell not from Heaven, or more gross to love
Vice for itself: To him no temple stood
Or altar smoked; yet who more oft then he
In temples and at altars, when the priest
Turns atheist, as did Ely's sons, who filled
With lust and violence the house of God.
In courts and palaces he also reigns
And in luxurious cities, where the noise
Of riot ascends above their loftiest towers,
And injury and outrage: And when night
Darkens the streets, then wander forth the sons
Of Belial, flown with insolence and wine.
Witness the streets of Sodom, and that night
In Gibeah, when the hospitable door
Exposed a matron to avoid worse rape."" (1.490-505) [negative]",Site of the rape of the Levite's concubine (Judges 19). Associated with Sodom and comparable story of Lot's daughters (Genesis 19).,sixteen,B,1,0,0,hill,hill
Crete,35.210000,24.910000,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]",Seat of Greek gods and their succeessive usurpations.,seventeen,M,1,0,0,island,island
Ida,35.227347,24.770894,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","Jupiter/Jove born on this mountain, associated with Greek gods and their successive usurpations.",seventeen,M,1,0,0,mountain,mountain
Delphian cliff,38.483333,22.500000,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","Seat of the oracle of Apollo, on southern slope of Parnassus, associated with Greek gods and their successive usurpations.",seventeen,M,1,0,0,mountain,mountain
Dodona,39.546389,20.787778,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","Seat of the oracle of Zeus, associated with Greek gods and their successive usurpations.",seventeen,M,1,0,0,region,region
Doric land,38.683333,22.433333,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","Alternative designation for Greece, associated with Greek gods and their successive usurpations. ",seventeen,M,1,0,0,region,region
Hesperian fields,41.900000,12.483333,2,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","Italy, here associated with Greek gods and their successive usurpations.",seventeen,M,1,0,0,region,region
Celtic,48.856667,2.350833,1,Negative,"""Titan, Heaven’s first born,
With his enormous brood, and birthright seized
By younger Saturn, he from mightier Jove
His own and Rhea's son like measure found;
So Jove usurping reigned: these first in Crete
And Ida known, thence on the snowy top
Of cold Olympus ruled the middle air
Their highest Heaven; or on the Delphian cliff,
Or in Dodona, and through all the bounds
Of Doric land; or who with Saturn old
Fled over Adria to the Hesperian fields,
And ore the Celtic roamed the utmost isles."" (1.510-521) [negative]","France, here associated with Greek gods and their successive usurpations.",seventeen,M,1,0,0,region,region
Babylon,32.536389,44.420833,6,Negative,"""Let none admire 
That riches grow in Hell; that soil may best 
Deserve the precious bane. And here let those 
Who boast in mortal things, and wondering tell 
Of Babel, and the works of Memphian kings 
Learn how their greatest monuments of fame, 
And strength and art are easily out-done 
By spirits reprobate, and in an hour 
What in an age they with incessant toil 
And hands innumerable scarce perform."" (1.690-699) [negative] / ""Not Babylon, 
Nor great Alcairo such magnificence 
Equaled in all their glories, to inshrine 
Belus or Serapis their gods, or seat 
Their kings, when Egypt with Assyria strove 
In wealth and luxury"" (1.717-722) [negative] / ""Hither of ill-joined sons and daughters born 
First from the ancient world those giants came 
With many a vain exploit, though then renowned: 
The builders next of Babel on the plain 
Of Sennaar, and still with vain design, 
New Babels, had they wherewithal, would build"" (3.463-468) [negative] / ""The clouded ark of God, till then in tents 
Wandering, shall in a glorious temple enshrine. 
Such follow him, as shall be registered 
Part good, part bad; of bad the longer scroll; 
Whose foul idolatries, and other faults 
Heaped to the popular sum, will so incense 
God, as to leave them, and expose their land, 
Their city, his temple, and his holy ark, 
With all his sacred things, a scorn and prey 
To that proud city, whose high walls thou sawest 
Left in confusion; Babylon thence called. There in captivity he lets them dwell 
The space of seventy years; then brings them back, 
Remembering mercy, and his covenant sworn 
To David, stablished as the days of Heaven. 
Returned from Babylon by leave of kings 
Their lords, whom God disposed, the house of God 
They first re-edify; and for a while 
In mean estate live moderate; till, grown 
In wealth and multitude, factious they grow; 
But first among the priests dissention springs, 
Men who attend the altar, and should most 
Endeavor peace: their strife pollution brings 
Upon the temple itself: at last they seize 
The scepter, and regard not David's sons; 
Then lose it to a stranger"" (12.333-358) [neutral]","Associated with riches and praise of *unworthy*, *mortal*  things.",eighteen /nine/ tnine (?),B,5,0,1,region,region
Ormus,27.100000,56.450000,1,Negative,"""High on a throne of royal state, which far
Outshone the wealth or Ormus and of Ind,
Or where the gorgeous east with richest hand
Showers on her kings barbaric pearl and gold,
Satan exalted sat, by merit raised
To that bad eminence; and, from despair
Thus high uplifted beyond hope, aspires
Beyond thus high, insatiate to pursue
Vain war with Heaven; and, by success untaught,
His proud imaginations thus displayed"" (2.1-10) [negative]",Site of wealth associated with Satans seat in Hell.,twenty,,1,0,0,island,island
Ind,21.000000,78.000000,1,Negative,"""High on a throne of royal state, which far
Outshone the wealth or Ormus and of Ind,
Or where the gorgeous east with richest hand
Showers on her kings barbaric pearl and gold,
Satan exalted sat, by merit raised
To that bad eminence; and, from despair
Thus high uplifted beyond hope, aspires
Beyond thus high, insatiate to pursue
Vain war with Heaven; and, by success untaught,
His proud imaginations thus displayed"" (2.1-10) [negative]",Site of wealth associated with Satans seat in Hell.,twenty,,1,0,0,region,region
Thessaly,38.828611,22.288611,1,Negative,"""Hell scarce holds the wild uproar:
As when Alcides, from Oechalia crowned
With conquest, felt the envenomed robe, and tore
Through pain up by the roots Thessalian pines,
And Lichas from the top of Oeta threw
Into the Euboic sea."" (2.541-546) [negative]","Site of Hercules' rage under the influence of the poisoned robe, evoked in association with the fallen angels' epic games.",tone,M,1,0,0,region,region
Oeta,38.828611,22.288611,1,Negative,"""Hell scarce holds the wild uproar:
As when Alcides, from Oechalia crowned
With conquest, felt the envenomed robe, and tore
Through pain up by the roots Thessalian pines,
And Lichas from the top of Oeta threw
Into the Euboic sea."" (2.541-546) [negative]","Site of Hercules' rage under the influence of the poisoned robe, evoked in association with the fallen angels' epic games. ",tone,M,1,0,0,mountain,mountain
Euboic Sea,38.550000,23.500000,1,Negative,"""Hell scarce holds the wild uproar:
As when Alcides, from Oechalia crowned
With conquest, felt the envenomed robe, and tore
Through pain up by the roots Thessalian pines,
And Lichas from the top of Oeta threw
Into the Euboic sea."" (2.541-546) [negative]","Site of Hercules' rage under the influence of the poisoned robe, evoked in association with the fallen angels' epic games. ",tone,M,1,0,0,sea,water
Damiata,31.416667,31.816667,1,Negative,"""Beyond this flood a frozen continent
Lies dark and wild, beat with perpetual storms
Of whirlwind and dire hail, which on firm land
Thaws not, but gathers heap, and ruin seems
Of ancient pile; all else deep snow and ice,
A gulf profound as that Serbonian bog
Betwixt Damiata and Mount Casius old,
Where armies whole have sunk: the parching air
Burns frore, and cold performs the effect of fire."" (2.587-595) [negative]","City near the mouth of the Nile, proximate to Lake Serbonis, used here in evoking the frozen wastes of Hell.",tthree,,1,0,0,region,region
Mount Casius,31.190483,33.162231,1,Negative,"""Beyond this flood a frozen continent
Lies dark and wild, beat with perpetual storms
Of whirlwind and dire hail, which on firm land
Thaws not, but gathers heap, and ruin seems
Of ancient pile; all else deep snow and ice,
A gulf profound as that Serbonian bog
Betwixt Damiata and Mount Casius old,
Where armies whole have sunk: the parching air
Burns frore, and cold performs the effect of fire."" (2.587-595) [negative]","Mountain on the opposite site of Lake Serbonis from the city of Damiata, used here in evoking the frozen wastes of Hell.",tthree,,1,0,0,mountain,mountain
Cyrene,32.825000,21.858056,1,Neutral,"""For hot, cold, moist, and dry, four champions fierce,
Strive here for mastery, and to battle bring
Their embryon atoms: they around the flag
Of each his faction, in their several clans,
Light-armed or heavy, sharp, smooth, swift, or slow,
Swarm populous, unnumbered as the sands
Of Barca or Cyrene's torrid soil,
Levied to side with warring winds, and poise
Their lighter wings."" (2.898-906) [neutral]","An ancient desert city whose setting among ""unnumbered"" sands evokes the profusion of atoms in chaos.",tfour,,0,0,1,desert,region
Syrtis,31.500000,18.000000,1,Neutral,"""...All unawares,
Fluttering his pennons vain, plumb-down he drops
Ten thousand fathom deep, and to this hour
Down had been falling, had not, by ill chance,
The strong rebuff of some tumultuous cloud,
Instinct with fire and nitre, hurried him
As many miles aloft. That fury stayed,
Quenched in a boggy Syrtis, neither sea,
Nor good dry land, nigh foundered, on he fares,
Treading the crude consistence, half on foot,
Half flying; behooves him now both oar and sail."" (2.932-942) [neutral]","Zone off the coast of Libya notorious for quicksand, associated with the medium through which Satan proceeds after his fall through chaos.",tfour,,0,0,1,desert,region
Bosporus,41.119444,29.075278,1,Neutral,"""But, glad that now his [Satan] sea should find a shore, 
With fresh alacrity and force renewed 
Springs upward, like a pyramid of fire, 
Into the wild expanse, and through the shock 
Of fighting elements, on all sides round 
Environed, wins his way; harder beset 
And more endangered than when Argo passed 
Through Bosporus betwixt the jostling rocks, 
Or when Ulysses on the larboard shunned 
Charybdis, and by the other whirlpool steered."" (2.101-120) [negative] ",Satan's way out of chaos associated with the labor of the Argonauts passing through the clashing rocks by Bosporus.,tsix,,0,0,1,water,water
Rhodope,41.083333,25.416667,1,Negative,"""But drive far off the barbarous dissonance 
Of Bacchus and his revelers, the race 
Of that wild rout that tore the Thracian bard 
In Rhodope, where woods and rocks had ears 
To rapture, till the savage clamor drowned 
Both harp and voice; nor could the Muse defend 
Her son."" (7.32-38) [negative]",Thracian mountain where the poet Orpheus was torn into pieces by the Maenads (followers of Bacchus).,seight,M,1,0,0,mountain,mountain
